task,metric,model,comparison,mean_diff,ci95_low,ci95_high,share_of_resamples_improved
classification,roc_auc,LogisticRegression,b_rfm_behav minus a_rfm,0.07494842156565489,0.06414683684696183,0.0855792965437917,1.0
classification,roc_auc,LogisticRegression,c_rfm_behav_cluster minus b_rfm_behav,0.003601339625299124,-5.954803708034797e-05,0.007390394998271831,0.972
classification,roc_auc,LogisticRegression,c_rfm_behav_cluster minus a_rfm,0.078549761190954,0.06795941023478058,0.08898924363616487,1.0
classification,roc_auc,DecisionTree,b_rfm_behav minus a_rfm,0.08268479710451035,0.06865249788030055,0.0967442570765209,1.0
classification,roc_auc,DecisionTree,c_rfm_behav_cluster minus b_rfm_behav,-0.002363432759173225,-0.008680579169649715,0.0034520863615505387,0.226
classification,roc_auc,DecisionTree,c_rfm_behav_cluster minus a_rfm,0.08032136434533711,0.06549148393884086,0.09422754591810205,1.0
classification,roc_auc,RandomForest,b_rfm_behav minus a_rfm,0.09485726888110581,0.08321822895284467,0.10591318908357827,1.0
classification,roc_auc,RandomForest,c_rfm_behav_cluster minus b_rfm_behav,-0.0017574568129452388,-0.003450445804822219,-0.00018609719974898862,0.01
classification,roc_auc,RandomForest,c_rfm_behav_cluster minus a_rfm,0.09309981206816056,0.08139082677800613,0.1039752080636243,1.0
regression,RMSE,LinearRegression,b_rfm_behav minus a_rfm,0.06994535394769315,-0.2350502477747071,0.34237993784993676,0.302
regression,RMSE,LinearRegression,c_rfm_behav_cluster minus b_rfm_behav,-0.00966844174694191,-0.016200494400221997,-0.0012796907854841788,0.988
regression,RMSE,LinearRegression,c_rfm_behav_cluster minus a_rfm,0.060276912200751244,-0.23988458989796868,0.3276590890112004,0.34
regression,RMSE,DecisionTree,b_rfm_behav minus a_rfm,1.483379394350899,-0.6088816111371291,3.685377230410349,0.078
regression,RMSE,DecisionTree,c_rfm_behav_cluster minus b_rfm_behav,-0.003758918768206769,-0.025909086540584526,0.014751046124060705,0.608
regression,RMSE,DecisionTree,c_rfm_behav_cluster minus a_rfm,1.479620475582692,-0.6026274280557358,3.689662794098957,0.08
regression,RMSE,RandomForest,b_rfm_behav minus a_rfm,1.028050428308026,-0.4414942534733079,2.5249532821338248,0.082
regression,RMSE,RandomForest,c_rfm_behav_cluster minus b_rfm_behav,0.00843515828144504,-0.0012535343510201354,0.019247800546364855,0.056
regression,RMSE,RandomForest,c_rfm_behav_cluster minus a_rfm,1.0364855865894713,-0.4348548181993564,2.532882555743911,0.082
regression,RMSE,Hurdle,b_rfm_behav minus a_rfm,-11.4295231770413,-23.04041255671151,-1.4985306441493216,0.988
regression,RMSE,Hurdle,c_rfm_behav_cluster minus b_rfm_behav,-0.5729650929941088,-1.1709016359225166,0.01067202050563711,0.972
regression,RMSE,Hurdle,c_rfm_behav_cluster minus a_rfm,-12.00248827003541,-23.475425110574438,-2.073654702666931,0.996
classification,f1_at_tuned,LogisticRegression,b_rfm_behav minus a_rfm,-0.020755587632792307,-0.03671163088606711,-0.004638772680090704,0.006
classification,f1_at_tuned,LogisticRegression,c_rfm_behav_cluster minus b_rfm_behav,0.01186443826067969,0.0032503208680230026,0.020762995619503264,0.998
classification,f1_at_tuned,LogisticRegression,c_rfm_behav_cluster minus a_rfm,-0.008891149372112616,-0.02310544412896697,0.004597949220487219,0.09
classification,f1_at_tuned,DecisionTree,b_rfm_behav minus a_rfm,0.004878150126135085,-0.010209585126747784,0.01823304184122821,0.756
classification,f1_at_tuned,DecisionTree,c_rfm_behav_cluster minus b_rfm_behav,0.0,0.0,0.0,0.0
classification,f1_at_tuned,DecisionTree,c_rfm_behav_cluster minus a_rfm,0.004878150126135085,-0.010209585126747784,0.01823304184122821,0.756
classification,f1_at_tuned,RandomForest,b_rfm_behav minus a_rfm,0.009632841562297257,-0.006439120920458838,0.024435683100908507,0.9
classification,f1_at_tuned,RandomForest,c_rfm_behav_cluster minus b_rfm_behav,0.013861294509542483,0.0023737778892451294,0.02574383362115179,0.992
classification,f1_at_tuned,RandomForest,c_rfm_behav_cluster minus a_rfm,0.023494136071839738,0.009847265978398792,0.03656215761651529,1.0
