model,task,metric,a_rfm,b_rfm_behav,c_rfm_behav_cluster,best_feature_set
DecisionTree,classification,roc_auc,0.693630558225192,0.7765985715417864,0.7742905668043696,b_rfm_behav
LogisticRegression,classification,roc_auc,0.703082599427887,0.7783067728958372,0.7818824470279817,c_rfm_behav_cluster
RandomForest,classification,roc_auc,0.7022230542123511,0.7972922206861328,0.7955134250919558,b_rfm_behav
DecisionTree,classification,pr_auc,0.16211130001398186,0.18219021279310857,0.1830077056392064,c_rfm_behav_cluster
LogisticRegression,classification,pr_auc,0.16020403100707706,0.16883764115785235,0.18029607166336006,c_rfm_behav_cluster
RandomForest,classification,pr_auc,0.1703030787909846,0.20257792231124852,0.20286091038217538,c_rfm_behav_cluster
DecisionTree,classification,f1,0.17901511749738064,0.12349547753009045,0.1359883438562409,a_rfm
LogisticRegression,classification,f1,0.1784588942996276,0.1537683358624178,0.12340306050821283,a_rfm
RandomForest,classification,f1,0.1817095038852361,0.1492262343404569,0.14434628975265018,a_rfm
DecisionTree,regression,RMSE,173.42353783479783,174.88295708429868,174.88015473730238,a_rfm
LinearRegression,regression,RMSE,196.533497850187,196.6337389668325,196.62373916208466,a_rfm
RandomForest,regression,RMSE,168.15259187194417,169.16028772960013,169.16870176539115,a_rfm
DecisionTree,regression,MAE,21.823625802366276,21.7639368335663,21.74154132007967,c_rfm_behav_cluster
LinearRegression,regression,MAE,23.56232630061328,23.621993985611883,23.634512679026003,a_rfm
RandomForest,regression,MAE,21.500509120099835,21.407237856835366,21.405706926740603,c_rfm_behav_cluster
DecisionTree,regression,R2,0.11105733323996547,0.09603285802575656,0.09606182836513011,a_rfm
LinearRegression,regression,R2,-0.14164436091153498,-0.1428092400955594,-0.14269300797036055,a_rfm
RandomForest,regression,R2,0.16427229393849696,0.15422567185711922,0.15414153210365877,a_rfm
DecisionTree,classification,f1_at_tuned_threshold,0.23308957952468007,0.2380952380952381,0.2380952380952381,b_rfm_behav
LogisticRegression,classification,f1_at_tuned_threshold,0.2521775197013687,0.23120946203739032,0.24301242236024842,a_rfm
RandomForest,classification,f1_at_tuned_threshold,0.23470565602154675,0.24452368823229748,0.2582345191040843,c_rfm_behav_cluster
Hurdle (prior-corrected),regression,RMSE,175.35148335868806,164.30193089240205,163.70117549855965,c_rfm_behav_cluster
Hurdle (prior-corrected),regression,MAE,22.016905114417746,19.270775010102458,19.29573350636659,b_rfm_behav
Hurdle (prior-corrected),regression,R2,0.09118276052256546,0.20211003476219813,0.20793419485221531,c_rfm_behav_cluster
