feature_set,model,metric,value,ci95_low,ci95_high
a_rfm,LogisticRegression,roc_auc,0.703082599427887,0.689000158827674,0.7174262239900818
a_rfm,LogisticRegression,pr_auc,0.16020403100707706,0.14033959746033509,0.1829093972861867
a_rfm,LogisticRegression,f1_at_0.5,0.1784588942996276,0.16548219838338338,0.19070960120384217
a_rfm,LogisticRegression,f1_at_tuned,0.2521775197013687,0.22873923105588556,0.27284804241596927
a_rfm,LogisticRegression,precision_at_tuned,0.26784140969162995,0.24180201683520705,0.2901968036307741
a_rfm,LogisticRegression,recall_at_tuned,0.23824451410658307,0.2163227968481116,0.2611071447183282
a_rfm,DecisionTree,roc_auc,0.693630558225192,0.679827446978842,0.708821176422686
a_rfm,DecisionTree,pr_auc,0.16211130001398186,0.14065844876596845,0.18359317133204636
a_rfm,DecisionTree,f1_at_0.5,0.1790151174973806,0.166696576231284,0.1915333499364379
a_rfm,DecisionTree,f1_at_tuned,0.23308957952468007,0.21090901632619577,0.25368899424955926
a_rfm,DecisionTree,precision_at_tuned,0.27960526315789475,0.2517738997918525,0.30546453523176575
a_rfm,DecisionTree,recall_at_tuned,0.19984326018808776,0.17976152490683664,0.2205388725605793
a_rfm,RandomForest,roc_auc,0.7022230542123511,0.6882865859306189,0.7168745097531223
a_rfm,RandomForest,pr_auc,0.1703030787909846,0.14874966635244954,0.19297958540589547
a_rfm,RandomForest,f1_at_0.5,0.1817095038852361,0.16899922511757828,0.19469652522220593
a_rfm,RandomForest,f1_at_tuned,0.23470565602154675,0.21293770012793944,0.254418526173704
a_rfm,RandomForest,precision_at_tuned,0.23053665910808768,0.20702834527024383,0.24983966728738227
a_rfm,RandomForest,recall_at_tuned,0.2390282131661442,0.2155940141754956,0.2614246470930335
b_rfm_behav,LogisticRegression,roc_auc,0.7783067728958372,0.7627575808975402,0.7912190609085581
b_rfm_behav,LogisticRegression,pr_auc,0.16883764115785235,0.14839404400380365,0.19035431800424504
b_rfm_behav,LogisticRegression,f1_at_0.5,0.15376833586241778,0.14298403740317978,0.1626050622531006
b_rfm_behav,LogisticRegression,f1_at_tuned,0.23120946203739032,0.20835074697678915,0.25052271966312684
b_rfm_behav,LogisticRegression,precision_at_tuned,0.22527881040892192,0.20037243510062971,0.2456130440763032
b_rfm_behav,LogisticRegression,recall_at_tuned,0.23746081504702193,0.21348702574752684,0.26030882220318347
b_rfm_behav,DecisionTree,roc_auc,0.7765985715417864,0.7627120713167934,0.7901913691900044
b_rfm_behav,DecisionTree,pr_auc,0.18219021279310857,0.160605390370849,0.2045699988142721
b_rfm_behav,DecisionTree,f1_at_0.5,0.12349547753009044,0.11563972030922462,0.1307866266005654
b_rfm_behav,DecisionTree,f1_at_tuned,0.2380952380952381,0.21475988905669147,0.2604970114614735
b_rfm_behav,DecisionTree,precision_at_tuned,0.30339805825242716,0.27069209989121,0.33220023080304806
b_rfm_behav,DecisionTree,recall_at_tuned,0.19592476489028213,0.17639936874746207,0.21575696536802275
b_rfm_behav,RandomForest,roc_auc,0.7972922206861328,0.7840331700148514,0.810659142363069
b_rfm_behav,RandomForest,pr_auc,0.20257792231124852,0.18008791616987183,0.22640222731744056
b_rfm_behav,RandomForest,f1_at_0.5,0.1492262343404569,0.13953675096097087,0.15802515243915233
b_rfm_behav,RandomForest,f1_at_tuned,0.24452368823229748,0.22055949488108992,0.26905155029097083
b_rfm_behav,RandomForest,precision_at_tuned,0.34934497816593885,0.3141073692031994,0.37909165451895044
b_rfm_behav,RandomForest,recall_at_tuned,0.18808777429467086,0.16900277818441442,0.20950790192402494
c_rfm_behav_cluster,LogisticRegression,roc_auc,0.7818824470279817,0.7663428515649987,0.7950917377125881
c_rfm_behav_cluster,LogisticRegression,pr_auc,0.18029607166336006,0.1591812656832966,0.20240096089797263
c_rfm_behav_cluster,LogisticRegression,f1_at_0.5,0.12340306050821284,0.11609544816671716,0.1304979865044634
c_rfm_behav_cluster,LogisticRegression,f1_at_tuned,0.24301242236024842,0.22035115762614027,0.26293061238598253
c_rfm_behav_cluster,LogisticRegression,precision_at_tuned,0.24076923076923076,0.21727850358647838,0.2619598444853023
c_rfm_behav_cluster,LogisticRegression,recall_at_tuned,0.24529780564263323,0.220697265958935,0.26651883543775434
c_rfm_behav_cluster,DecisionTree,roc_auc,0.7742905668043696,0.7587860483903824,0.7892716173844633
c_rfm_behav_cluster,DecisionTree,pr_auc,0.1830077056392064,0.16119282975801544,0.2054551664444155
c_rfm_behav_cluster,DecisionTree,f1_at_0.5,0.1359883438562409,0.12715843291005183,0.1440253627070011
c_rfm_behav_cluster,DecisionTree,f1_at_tuned,0.2380952380952381,0.21475988905669147,0.2604970114614735
c_rfm_behav_cluster,DecisionTree,precision_at_tuned,0.30339805825242716,0.27069209989121,0.33220023080304806
c_rfm_behav_cluster,DecisionTree,recall_at_tuned,0.19592476489028213,0.17639936874746207,0.21575696536802275
c_rfm_behav_cluster,RandomForest,roc_auc,0.7955134250919558,0.7821134608817862,0.8090366800749047
c_rfm_behav_cluster,RandomForest,pr_auc,0.20286091038217538,0.1805325021644637,0.22613664324620866
c_rfm_behav_cluster,RandomForest,f1_at_0.5,0.14434628975265018,0.13521821163419287,0.15311632429618705
c_rfm_behav_cluster,RandomForest,f1_at_tuned,0.2582345191040843,0.23274235136807234,0.28055086891204395
c_rfm_behav_cluster,RandomForest,precision_at_tuned,0.2937062937062937,0.26563512034585585,0.3195768322784452
c_rfm_behav_cluster,RandomForest,recall_at_tuned,0.2304075235109718,0.20669338129496403,0.25245088128829946
