,count,mean,std,min,25%,50%,75%,max
recency_days,255577.0,54.47924885573914,15.734684967114188,0.007222222222222222,60.0,60.0,60.0,60.0
has_purchased,255577.0,0.11168454125371219,0.3149785590877109,0.0,0.0,0.0,0.0,1.0
frequency,255577.0,0.22916772636035324,1.2116913562293643,0.0,0.0,0.0,0.0,121.0
monetary,255577.0,72.62293743177203,786.0071641265669,0.0,0.0,0.0,0.0,174449.35
n_sessions,255577.0,2.816736247784425,3.989508090806223,1.0,1.0,1.0,3.0,208.0
n_views,255577.0,12.445235682397087,28.02589517419017,0.0,2.0,4.0,12.0,1466.0
n_carts,255577.0,0.29557824060850546,1.4828399038329196,0.0,0.0,0.0,0.0,113.0
n_remove_from_cart,255577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
avg_session_duration,255577.0,20.349209955397768,366.5368444656088,0.0,0.0,1.4583333333333333,4.529166666666667,31408.616666666665
cart_to_view_ratio,255577.0,0.027390838880652205,0.16293334548238386,0.0,0.0,0.0,0.0,18.0
purchase_to_cart_ratio,255577.0,0.06615767157483537,0.35154746016770705,0.0,0.0,0.0,0.0,26.0
days_active,255577.0,1.9762967716187294,1.8605507259908245,1.0,1.0,1.0,2.0,24.0
n_categories,255577.0,2.4438310176580833,3.161846993706587,0.0,1.0,1.0,3.0,101.0
days_since_last_event,255577.0,9.607095426702601,6.858161283994238,0.0001388888888888889,3.5527430555555557,8.46005787037037,15.24550925925926,23.99875
