setup_note,task,feature_set,model,metric,honest,leaky,inflation_leaky_minus_honest
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,a_rfm,LogisticRegression,roc_auc,0.703082599427887,0.999999984275701,0.29691738484781405
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,a_rfm,LogisticRegression,pr_auc,0.16020403100707706,0.9999993862967427,0.8397953552896656
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,a_rfm,LogisticRegression,f1,0.1784588942996276,0.9101283880171184,0.7316694937174908
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,a_rfm,LogisticRegression,recall,0.4882445141065831,1.0,0.5117554858934169
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,a_rfm,LogisticRegression,precision,0.10918331580792148,0.8350785340314136,0.7258952182234921
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,a_rfm,DecisionTree,roc_auc,0.693630558225192,1.0,0.30636944177480796
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,a_rfm,DecisionTree,pr_auc,0.16211130001398186,1.0,0.8378886999860181
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,a_rfm,DecisionTree,f1,0.17901511749738064,1.0,0.8209848825026194
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,a_rfm,DecisionTree,recall,0.46865203761755486,1.0,0.5313479623824451
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,a_rfm,DecisionTree,precision,0.11063829787234042,1.0,0.8893617021276596
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,a_rfm,RandomForest,roc_auc,0.7022230542123511,1.0,0.2977769457876489
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,a_rfm,RandomForest,pr_auc,0.1703030787909846,1.0,0.8296969212090154
