feature_set,model,subset,n,metric,value,ci95_low,ci95_high
a_rfm,LinearRegression (single-stage),all_test_users,51116,MAE,23.56232630061328,22.154332504082323,25.352821086620697
a_rfm,LinearRegression (single-stage),all_test_users,51116,RMSE,196.533497850187,136.07635683209784,280.5187514941418
a_rfm,LinearRegression (single-stage),all_test_users,51116,R2,-0.14164436091153498,-2.2153586283269138,0.5279726352363319
a_rfm,LinearRegression (single-stage),test_buyers_only,1276,MAE,429.2906803526311,394.0393085425098,472.78916843279507
a_rfm,LinearRegression (single-stage),test_buyers_only,1276,RMSE,859.0921049513763,718.4198285096928,1018.0277659652374
a_rfm,LinearRegression (single-stage),test_buyers_only,1276,R2,0.3361350454758212,-0.13153195005094503,0.6142926085904347
a_rfm,DecisionTree (single-stage),all_test_users,51116,MAE,21.823625802366276,20.502661820179057,23.401552923448012
a_rfm,DecisionTree (single-stage),all_test_users,51116,RMSE,173.42353783479783,133.63913183307545,225.16264478167292
a_rfm,DecisionTree (single-stage),all_test_users,51116,R2,0.11105733323996547,-0.12718986020698883,0.21674675143884242
a_rfm,DecisionTree (single-stage),test_buyers_only,1276,MAE,455.8831804203281,413.43468411977864,510.9668811723172
a_rfm,DecisionTree (single-stage),test_buyers_only,1276,RMSE,1024.2493381582904,758.1152821976333,1370.4804111607011
a_rfm,DecisionTree (single-stage),test_buyers_only,1276,R2,0.056348420814082534,-0.2508137244411474,0.178123833687594
a_rfm,RandomForest (single-stage),all_test_users,51116,MAE,21.500509120099835,20.2395283464774,23.049524036573036
a_rfm,RandomForest (single-stage),all_test_users,51116,RMSE,168.15259187194417,130.58210351649072,216.9334819146304
a_rfm,RandomForest (single-stage),all_test_users,51116,R2,0.16427229393849696,-0.09561809089643805,0.28792698392696076
a_rfm,RandomForest (single-stage),test_buyers_only,1276,MAE,440.614555666585,401.1012844027964,492.7430306361523
a_rfm,RandomForest (single-stage),test_buyers_only,1276,RMSE,987.8473715142667,734.7719595832717,1308.3275031799349
a_rfm,RandomForest (single-stage),test_buyers_only,1276,R2,0.12223151465883142,-0.1933953766162835,0.262981584261676
a_rfm,Hurdle (prior-corrected),all_test_users,51116,MAE,22.016905114417746,20.65229711372073,23.68351133104379
a_rfm,Hurdle (prior-corrected),all_test_users,51116,RMSE,175.35148335868806,139.16558025701403,220.36338888793617
a_rfm,Hurdle (prior-corrected),all_test_users,51116,R2,0.09118276052256546,-0.3036128180508362,0.28113479543123177
a_rfm,Hurdle (prior-corrected),test_buyers_only,1276,MAE,451.075266854027,410.21142419886337,505.45643427465814
a_rfm,Hurdle (prior-corrected),test_buyers_only,1276,RMSE,1009.733986245436,769.1851338383697,1304.358342953896
a_rfm,Hurdle (prior-corrected),test_buyers_only,1276,R2,0.08290519033597898,-0.3408941967263606,0.2750815211175151
b_rfm_behav,LinearRegression (single-stage),all_test_users,51116,MAE,23.621993985611883,22.202064629437455,25.415892210284046
b_rfm_behav,LinearRegression (single-stage),all_test_users,51116,RMSE,196.6337389668325,135.92376091289367,280.89583140192747
b_rfm_behav,LinearRegression (single-stage),all_test_users,51116,R2,-0.1428092400955594,-2.220253427398812,0.5272888291217699
b_rfm_behav,LinearRegression (single-stage),test_buyers_only,1276,MAE,427.1761918126208,392.08559058907974,470.91270964372615
b_rfm_behav,LinearRegression (single-stage),test_buyers_only,1276,RMSE,859.1305907907943,717.5513822007815,1019.0067259598462
b_rfm_behav,LinearRegression (single-stage),test_buyers_only,1276,R2,0.33607556414157946,-0.1314450518216146,0.6140585890450363
b_rfm_behav,DecisionTree (single-stage),all_test_users,51116,MAE,21.7639368335663,20.463111399118336,23.340086322254376
b_rfm_behav,DecisionTree (single-stage),all_test_users,51116,RMSE,174.88295708429868,134.5812404773266,226.22459671083962
b_rfm_behav,DecisionTree (single-stage),all_test_users,51116,R2,0.09603285802575656,-0.1497705272640788,0.20695317116949874
b_rfm_behav,DecisionTree (single-stage),test_buyers_only,1276,MAE,457.3182068978678,415.2923863602318,515.1806623423621
b_rfm_behav,DecisionTree (single-stage),test_buyers_only,1276,RMSE,1032.8701635017635,761.5035810121905,1374.1344506496107
b_rfm_behav,DecisionTree (single-stage),test_buyers_only,1276,R2,0.04039665905350742,-0.2803002525411039,0.17696619181226358
b_rfm_behav,RandomForest (single-stage),all_test_users,51116,MAE,21.407237856835366,20.14025239733049,22.96902771856866
b_rfm_behav,RandomForest (single-stage),all_test_users,51116,RMSE,169.16028772960013,131.89071315124187,217.2416780842192
b_rfm_behav,RandomForest (single-stage),all_test_users,51116,R2,0.15422567185711922,-0.11557439677566944,0.27930859354107235
b_rfm_behav,RandomForest (single-stage),test_buyers_only,1276,MAE,442.007418158399,401.88518021931935,494.2132653028385
b_rfm_behav,RandomForest (single-stage),test_buyers_only,1276,RMSE,992.576009158133,740.2365395744356,1308.6071179268529
b_rfm_behav,RandomForest (single-stage),test_buyers_only,1276,R2,0.11380797999830472,-0.2114294523896517,0.25557208655517233
b_rfm_behav,Hurdle (prior-corrected),all_test_users,51116,MAE,19.270775010102458,18.043506348167906,20.89361591130816
b_rfm_behav,Hurdle (prior-corrected),all_test_users,51116,RMSE,164.30193089240205,123.94478817697274,213.1523646130428
b_rfm_behav,Hurdle (prior-corrected),all_test_users,51116,R2,0.20211003476219813,0.028373939545727294,0.2972541831664978
b_rfm_behav,Hurdle (prior-corrected),test_buyers_only,1276,MAE,441.9472835846235,401.02358908565645,494.21562321725577
b_rfm_behav,Hurdle (prior-corrected),test_buyers_only,1276,RMSE,1001.1962796798919,735.5704530594162,1324.4303463644178
b_rfm_behav,Hurdle (prior-corrected),test_buyers_only,1276,R2,0.09834843393521153,-0.18820949070026102,0.23962963548884994
c_rfm_behav_cluster,LinearRegression (single-stage),all_test_users,51116,MAE,23.634512679026003,22.216690883605022,25.430494442014922
c_rfm_behav_cluster,LinearRegression (single-stage),all_test_users,51116,RMSE,196.62373916208466,135.91940912550018,280.87972421029053
c_rfm_behav_cluster,LinearRegression (single-stage),all_test_users,51116,R2,-0.14269300797036055,-2.219854839549159,0.5273340227949019
c_rfm_behav_cluster,LinearRegression (single-stage),test_buyers_only,1276,MAE,427.1754569333617,392.05461743752346,470.93397277939886
c_rfm_behav_cluster,LinearRegression (single-stage),test_buyers_only,1276,RMSE,859.1075181322338,717.542593067032,1018.9774400438188
c_rfm_behav_cluster,LinearRegression (single-stage),test_buyers_only,1276,R2,0.3361112241362001,-0.13150234423932816,0.6140929583997672
c_rfm_behav_cluster,DecisionTree (single-stage),all_test_users,51116,MAE,21.74154132007967,20.443939939165222,23.327435792551242
c_rfm_behav_cluster,DecisionTree (single-stage),all_test_users,51116,RMSE,174.88015473730238,134.58243849875072,226.2275604369075
c_rfm_behav_cluster,DecisionTree (single-stage),all_test_users,51116,R2,0.09606182836513011,-0.14974853228596335,0.20708687966127878
c_rfm_behav_cluster,DecisionTree (single-stage),test_buyers_only,1276,MAE,457.6221359777498,415.63122453383454,515.4918108176803
c_rfm_behav_cluster,DecisionTree (single-stage),test_buyers_only,1276,RMSE,1032.8916182102182,761.5918174197561,1374.1475106300409
c_rfm_behav_cluster,DecisionTree (single-stage),test_buyers_only,1276,R2,0.04035679300941808,-0.2799408832123628,0.17703007357138792
c_rfm_behav_cluster,RandomForest (single-stage),all_test_users,51116,MAE,21.405706926740603,20.137252705017037,22.96219775099102
c_rfm_behav_cluster,RandomForest (single-stage),all_test_users,51116,RMSE,169.16870176539115,131.89936251367646,217.2458888654471
c_rfm_behav_cluster,RandomForest (single-stage),all_test_users,51116,R2,0.15414153210365877,-0.11576725077413229,0.27929072712602443
c_rfm_behav_cluster,RandomForest (single-stage),test_buyers_only,1276,MAE,441.9258607121903,401.7326530792066,494.13329885473644
c_rfm_behav_cluster,RandomForest (single-stage),test_buyers_only,1276,RMSE,992.6255613203992,740.3142755836935,1308.646310853912
c_rfm_behav_cluster,RandomForest (single-stage),test_buyers_only,1276,R2,0.11371949543592985,-0.21161112783816305,0.2555306115188472
c_rfm_behav_cluster,Hurdle (prior-corrected),all_test_users,51116,MAE,19.29573350636659,18.06759007467327,20.91222567748531
c_rfm_behav_cluster,Hurdle (prior-corrected),all_test_users,51116,RMSE,163.70117549855965,123.83859627031327,212.1329908112033
c_rfm_behav_cluster,Hurdle (prior-corrected),all_test_users,51116,R2,0.20793419485221531,0.03393875569370961,0.3036026966651414
c_rfm_behav_cluster,Hurdle (prior-corrected),test_buyers_only,1276,MAE,441.8453371610077,400.8177687115295,493.7324840676201
c_rfm_behav_cluster,Hurdle (prior-corrected),test_buyers_only,1276,RMSE,997.5113511455692,734.7651167188382,1316.4924928617604
c_rfm_behav_cluster,Hurdle (prior-corrected),test_buyers_only,1276,R2,0.10497332325661912,-0.1861037899634982,0.24736564561895388
