prediction,share_of_SSE_from_top10_users,share_of_SSE_from_top1_user,max_prediction,share_negative_predictions
reg|a_rfm|LinearRegression,0.621043548548275,0.40925660556084736,28425.81094669698,0.0371899209640817
reg|a_rfm|DecisionTree,0.49402126750933933,0.27901945452681126,4272.873799999999,0.0
reg|a_rfm|RandomForest,0.5025052218717884,0.2615263971067113,5542.052682092792,0.0
reg|b_rfm_behav|LinearRegression,0.6227232618899134,0.41027638989904475,28475.72110809946,0.08750684717114016
reg|b_rfm_behav|DecisionTree,0.4976061253272605,0.2743819841098394,4272.8738,0.0
reg|b_rfm_behav|RandomForest,0.49817777466609514,0.25842546857161874,5541.840480762945,0.0
reg|c_rfm_behav_cluster|LinearRegression,0.6227306904283805,0.4102738372328214,28474.184394837277,0.08920885828312075
reg|c_rfm_behav_cluster|DecisionTree,0.49757070305438755,0.27439077778560955,4272.8738,0.0
reg|c_rfm_behav_cluster|RandomForest,0.49814664229776145,0.2583997623145571,5541.840480762944,0.0
hurdle|a_rfm,0.48546817914855456,0.22130074947636671,6333.979342445499,0.0
hurdle|b_rfm_behav,0.5412625889040412,0.28174637252754337,5480.8541949850705,0.0
hurdle|c_rfm_behav_cluster,0.5384824728568319,0.2795583026050539,5415.09944877222,0.0
